Index,Modification,Speaker,Start Time,End Time,Script
1,인식결과,1,33730,41990,여러분 안녕하십니까 중앙선거방송토론위원회가 주관하는 제20대 대통령 선거 후보자 토론회 진행을 맡은 편상욱입니다.
1,수정결과,A,33730,41990,여러분 안녕하십니까 중앙선거방송토론위원회가 주관하는 제20대 대통령 선거 후보자 토론회 진행을 맡은 편상욱입니다.
2,인식결과,1,44480,55890,오늘 토론회는 3월 9일 실시될 대통령 선거를 앞두고 국민 여러분께서 각 후보의 정책과 비전을 비교 평가하고 후보를 선택하는 데 도움을 드리기 위해서 마련됐고요
2,수정결과,A,44480,55890,오늘 토론회는 3월 9일 실시될 대통령 선거를 앞두고 국민 여러분께서 각 후보의 정책과 비전을 비교 평가하고 후보를 선택하는 데 도움을 드리기 위해서 마련됐고요
3,인식결과,1,55930,60690,sbs kbs 1 mbc 등을 통해 동시 생중계됩니다.
3,수정결과,A,55930,60690,sbs kbs 1 mbc 등을 통해 동시 생중계됩니다.
4,인식결과,1,60930,67240,아울러 중앙선거방송토론위원회 유튜브와 네이버 tv에서도 실시간으로 보실 수 있습니다.
4,수정결과,A,60930,67240,아울러 중앙선거방송토론위원회 유튜브와 네이버 tv에서도 실시간으로 보실 수 있습니다.
5,인식결과,1,67430,77890,청각장애 선거인 여러분들을 위해서 후보자들 별로 수어 통역자가 배치된 방송도 복지 티브이에서 실시간으로 생중계되고 있음을 알려드립니다.
5,수정결과,A,67430,77890,청각장애 선거인 여러분들을 위해서 후보자들 별로 수어 통역자가 배치된 방송도 복지 티브이에서 실시간으로 생중계되고 있음을 알려드립니다.
6,인식결과,1,78430,86590,중앙선거방송토론위원회는 모두 세 차례 후보자 토론회를 주관하는데요. 오늘은 그 두 번째 순서로 정치 분야를 주제로 진행됩니다.
6,수정결과,A,78430,86590,중앙선거방송토론위원회는 모두 세 차례 후보자 토론회를 주관하는데요. 오늘은 그 두 번째 순서로 정치 분야를 주제로 진행됩니다.
7,인식결과,1,87280,94640,후보자 가운데 법이 정한 기준에 따라서 4명의 후보자를 모셨는데요. 순서대로 소개해 드리겠습니다.
7,수정결과,A,87280,94640,후보자 가운데 법이 정한 기준에 따라서 4명의 후보자를 모셨는데요. 순서대로 소개해 드리겠습니다.
8,인식결과,1,95780,104540,기호 3번 심상정 후보입니다. 기호 4번 국민의당 안철수 후보입니다. 기호 2번
8,수정결과,A,95780,104540,기호 3번 심상정 후보입니다. 기호 4번 국민의당 안철수 후보입니다. 기호 2번
9,인식결과,1,104730,111430,국민의힘 윤석열 후보입니다. 기호 1번 더불어민주당 이재명 후보
9,수정결과,A,104730,111430,국민의힘 윤석열 후보입니다. 기호 1번 더불어민주당 이재명 후보
10,인식결과,2,111430,114090,유능한 경제 대통령 후보 이재명입니다.
10,수정결과,B,111430,114090,유능한 경제 대통령 후보 이재명입니다.
11,인식결과,1,117080,131140,후보자의 자리와 발언 순서는 사전에 추첨으로 결정됐습니다. 본격적인 토론에 들어가기에 앞서서 국민들이 새 대통령에게 바라는 점 이것만큼은 실천해줬으면 한다는 국민 인터뷰를 영상으로 준비했는데요. 함께 보시죠
11,수정결과,A,117080,131140,후보자의 자리와 발언 순서는 사전에 추첨으로 결정됐습니다. 본격적인 토론에 들어가기에 앞서서 국민들이 새 대통령에게 바라는 점 이것만큼은 실천해줬으면 한다는 국민 인터뷰를 영상으로 준비했는데요. 함께 보시죠
12,인식결과,3,140830,142330,우리 사회가
12,수정결과,C,140830,142330,우리 사회가
13,인식결과,4,142330,146330,성실하게 열심히 일하는 것도 중요하지만 공정하고
13,수정결과,D,142330,146330,성실하게 열심히 일하는 것도 중요하지만 공정하고
14,인식결과,5,146330,149330,정의롭다는 걸 저희 아이들에게 많이 보여줄 수 있어
14,수정결과,E,146330,149330,정의롭다는 걸 저희 아이들에게 많이 보여줄 수 있어
15,인식결과,6,149330,150830,있는 사회가 되었으면
15,수정결과,F,149330,150830,있는 사회가 되었으면
16,인식결과,2,150830,155940,북한에 대해서 나오는 한 방향이 아니라 유화책과 강경책을 함께 할 수 있는
16,수정결과,B,150830,155940,북한에 대해서 나오는 한 방향이 아니라 유화책과 강경책을 함께 할 수 있는
17,인식결과,5,155940,157440,그런 정책이 필요하고
17,수정결과,E,155940,157440,그런 정책이 필요하고
18,인식결과,7,157440,161940,제발 갈라치기 하지 말고 너나 없이 평등하게 좀 사는
18,수정결과,G,157440,161940,제발 갈라치기 하지 말고 너나 없이 평등하게 좀 사는
19,인식결과,2,161940,163640,세상을 좀 만들었으면 좋겠습니다.
19,수정결과,B,161940,163640,세상을 좀 만들었으면 좋겠습니다.
20,인식결과,6,163830,164830,
20,수정결과,F,163830,164830,
21,인식결과,5,164830,172330,정책이든 좌든 우든 하여튼 진영을 떠나서 자기가 약속한 것들은 꼭 지켜주는 대통령이 됐으면 좋겠습니다.
21,수정결과,E,164830,172330,정책이든 좌든 우든 하여튼 진영을 떠나서 자기가 약속한 것들은 꼭 지켜주는 대통령이 됐으면 좋겠습니다.
22,인식결과,2,172330,173830,구조 개편에 대한 얘기가 많은데
22,수정결과,B,172330,173830,구조 개편에 대한 얘기가 많은데
23,인식결과,6,173830,176490,정치인이 아니라 국민을 위한
23,수정결과,F,173830,176490,정치인이 아니라 국민을 위한
24,인식결과,3,176880,178740,변화가 있으면 좋겠습니다.
24,수정결과,C,176880,178740,변화가 있으면 좋겠습니다.
25,인식결과,4,179180,187290,국민들이 양분되지 않고 다 같이 하나가 되고 다 같이 힘을 합할 수 있는 그런 나라가 되었으면 좋겠어요.
25,수정결과,D,179180,187290,국민들이 양분되지 않고 다 같이 하나가 되고 다 같이 힘을 합할 수 있는 그런 나라가 되었으면 좋겠어요.
26,인식결과,5,188080,191140,공정과 정의가 바로 서는 나라가 됐으면 좋겠습니다.
26,수정결과,E,188080,191140,공정과 정의가 바로 서는 나라가 됐으면 좋겠습니다.
27,인식결과,1,196779,202539,시간관계상 많은 분들을 소개해 드리지 못했지만 국민들의 목소리가 잘 전달되었길 바랍니다.
27,수정결과,A,196779,202539,시간관계상 많은 분들을 소개해 드리지 못했지만 국민들의 목소리가 잘 전달되었길 바랍니다.
28,인식결과,1,202539,213440,오늘 토론 주제는 권력구조 개편과 남북관계와 외교안보 정책입니다. 주제별로 사회자 공통질문 후 시간총량제 토론에 이어서 주도권 토론으로 진행됩니다.
28,수정결과,A,202539,213440,오늘 토론 주제는 권력구조 개편과 남북관계와 외교안보 정책입니다. 주제별로 사회자 공통질문 후 시간총량제 토론에 이어서 주도권 토론으로 진행됩니다.
29,인식결과,1,213680,219140,주어진 발언 시간이 끝나면 마이크가 자동으로 음소거되는 점도 유념해 주시기 바랍니다.
29,수정결과,A,213680,219140,주어진 발언 시간이 끝나면 마이크가 자동으로 음소거되는 점도 유념해 주시기 바랍니다.
30,인식결과,1,219330,230240,상대 후보에 대한 비방이나 허위 사실 같은 위법한 사항은 삼가주시고요 효율적인 진행을 위해서 사회자가 발언을 발언할 후보자를 지명할 수 있다는 점도 알려드립니다.
30,수정결과,A,219330,230240,상대 후보에 대한 비방이나 허위 사실 같은 위법한 사항은 삼가주시고요 효율적인 진행을 위해서 사회자가 발언을 발언할 후보자를 지명할 수 있다는 점도 알려드립니다.
31,인식결과,1,230630,232640,그럼 본격적으로 토론을 시작하겠습니다.
31,수정결과,A,230630,232640,그럼 본격적으로 토론을 시작하겠습니다.
32,인식결과,1,233880,245740,사회자 공통질문에 대한 각 후보자의 입장을 듣고 시간총량제 토론으로 이어가겠습니다. 후보들께 공통질문에 대한 답변 시간 1분 시간 총량제 토론 발언 시간은 각 6분씩을 드립니다.
32,수정결과,A,233880,245740,사회자 공통질문에 대한 각 후보자의 입장을 듣고 시간총량제 토론으로 이어가겠습니다. 후보들께 공통질문에 대한 답변 시간 1분 시간 총량제 토론 발언 시간은 각 6분씩을 드립니다.
33,인식결과,1,246080,250490,첫 번째 주제는 권력구조 개편인데요. 사회자 공통질문 드리겠습니다.
33,수정결과,A,246080,250490,첫 번째 주제는 권력구조 개편인데요. 사회자 공통질문 드리겠습니다.
34,인식결과,1,252830,260890,우리나라는 경제 문화 등 다양한 분야에서 세계를 선도하는 위치에 있으나 정치 분야에서만큼은 후진성을 면치 못하고 있습니다.
34,수정결과,A,252830,260890,우리나라는 경제 문화 등 다양한 분야에서 세계를 선도하는 위치에 있으나 정치 분야에서만큼은 후진성을 면치 못하고 있습니다.
35,인식결과,1,261230,275840,그동안 개헌을 비롯한 다양한 방안이 논의되었으나 뚜렷한 결실을 찾지 못하고 있는 것이 현실이죠. 민의를 반영하고 사회 갈등을 효율적으로 조율할 수 있는 권력구조 개편 방안은 무엇인지 각 후보의 입장을 들어보겠습니다.
35,수정결과,A,261230,275840,그동안 개헌을 비롯한 다양한 방안이 논의되었으나 뚜렷한 결실을 찾지 못하고 있는 것이 현실이죠. 민의를 반영하고 사회 갈등을 효율적으로 조율할 수 있는 권력구조 개편 방안은 무엇인지 각 후보의 입장을 들어보겠습니다.
36,인식결과,1,276330,280240,답변 시간은 1분입니다. 먼저 심상정 후보부터 출발하시죠
36,수정결과,A,276330,280240,답변 시간은 1분입니다. 먼저 심상정 후보부터 출발하시죠
37,인식결과,7,280430,280890,응
37,수정결과,G,280430,280890,응
38,인식결과,4,281530,287040,국민들께서는 이번 대선에서 기대보다는 걱정이 크신 것 같습니다.
38,수정결과,D,281530,287040,국민들께서는 이번 대선에서 기대보다는 걱정이 크신 것 같습니다.
39,인식결과,4,287079,299160,역대급 비호감 선거를 만든 양당은 서로 진영으로 나누고 상대 후보가 당선되면 나라가 망할 것처럼 말합니다. 그동안 몇 번 정권 교대가 있었지만 나라 망하지 않았습니다.
39,수정결과,D,287079,299160,역대급 비호감 선거를 만든 양당은 서로 진영으로 나누고 상대 후보가 당선되면 나라가 망할 것처럼 말합니다. 그동안 몇 번 정권 교대가 있었지만 나라 망하지 않았습니다.
40,인식결과,4,299160,305519,극단적인 경우에 국민들이 다 개입하셨습니다. 우리나라가 미래로 가기 위해서 지금 중요한 것은
40,수정결과,D,299160,305519,극단적인 경우에 국민들이 다 개입하셨습니다. 우리나라가 미래로 가기 위해서 지금 중요한 것은
41,인식결과,4,305519,315260,승자독식 사회를 이끈 35년 양당 체제 그리고 제왕적 대통령제를 바꾸는 거라고 생각합니다. 제가 대통령이 되면 개헌 이전이라도
